Event Name,Date,Location,Type,Region,Website
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/michelle-cann/
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/pakt/
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/erik-walters/
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/memoir/
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/nora-en-pure/
Poolside,2/2/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/poolside/
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-monterrey-flash/
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/jaha-koo-the-history-of-korean-western-theatre/
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-winds-medley-of-emotions/
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/all-will-suffer/
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/cold-war-kids-20-years-tour/
Mau P,2/3/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/mau-p/
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/randy-rainbow-for-president/
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,https://visitseattle.org/events/the-delta-bombers/
Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/seattle-chamber-music-winter-festival/
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/beethoven-emperor-concerto/
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/sergio-mendes/
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/daniel-tigers-neighborhood/
Lil Skies,2/4/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/lil-skies/
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/criminal/
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/neck-deep/
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/kazu-kibuishi-with-donna-barba-higuera/
Night Lovell,2/6/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/night-lovell/
Soja,2/6/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/soja/
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/kenny-barron-trio/
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/tamara-payne-the-life-and-legacy-of-malcolm-x/
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/the-kills/
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/an-evening-with-tina-campt-black-feminist-visual-culture/
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,https://visitseattle.org/events/art-and-transformation/
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/eric-bellinger/
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/futurebirds-and-nude-party/
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/ilana-glazer-live/
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/mister-blank/
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/the-thorn/
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/barry-cant-swim/
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/dark-star-orchestra/
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/govt-mule/
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/mayer-hawthorne/
Moontricks,2/9/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/moontricks/
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/oboe-oboe/
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/seattle-boat-show/
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/randall-goosby-plays-mozart/
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,https://visitseattle.org/events/art-by-design/
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/brazilian-carnaval-2024/
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/chase-rice/
Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/joe-mr-d-dombrowski/
JVNA,2/10/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/jvna/
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/the-temptations-the-four-tops/
Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/quixote-nuevo/
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/kent-stowells-swan-lake/
Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/blood-sweat-and-tears/
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,https://visitseattle.org/events/love-at-the-zoo/
Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/scott-bradlees-postmodern-jukebox/
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/tourist-and-amtrac/
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/eliades-ochoa/
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/k-wayne-yang/
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/maddie-zahm/
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/cory-wong-winter-2024-tour/
Circa:Humans 2.0,2/15/2024 through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,https://visitseattle.org/events/circahumans-2-0/
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/jon-batiste/
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,https://visitseattle.org/events/tobymac-hits-deep-2024/
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/a-case-for-the-existence-of-god/
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/northwest-flower-garden-festival/
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-princess-bride-in-concert-with-the-seattle-symphony/
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/mindi-abair-wine-and-jazz-tour-2024/
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/madonna/
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/meet-the-author-maggie-taft-the-chieftain-and-the-chair/
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-detroit-red-wings/
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/from-mozart-to-matthews/
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/lukas-nelson/
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,https://visitseattle.org/events/mahogany-smartfilms-black-luxury/
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/wu-han-philip-setzer-david-finckel/
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/the-cookers/
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/side-by-side-with-seattle-youth-symphony-orchestra/
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-vancouver-canucks/
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/funky-friday-with-f2d/
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/blackstar-symphony-the-music-of-david-bowie/
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,https://visitseattle.org/events/opera-talk-the-making-of-x/
Wreckno,2/23/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/wreckno/
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/kelly-akashi/
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lower-depths/
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dan-brown-wild-symphony/
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/pink-sweat/
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-minnesota-wild-2/
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/small-island-big-song/
Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,https://visitseattle.org/events/born-with-teeth/
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/once-more-just-for-you/
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,https://visitseattle.org/events/wintergrass-music-festival/
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-boston-bruins/
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/hunt-for-sleeping-giants-national-geographic-live/
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/playboi-carti/
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/winter-brilliance/
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,https://visitseattle.org/events/seattle-museum-month/
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-pittsburgh-penguins/
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,https://visitseattle.org/events/the-human-family-2/
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,https://visitseattle.org/events/fall-out-boy/
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-harrisburg-heat/
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/conrad-taos-playlist/
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-edmonton-oilers/
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,https://visitseattle.org/events/emerald-city-comic-con/
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,https://visitseattle.org/events/tacoma-stars-vs-harrisburg-heat-2/
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/calidore-quartet-abeo-quartet/
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/holding-movement/
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-winnipeg-jets/
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/xthe-life-and-times-of-malcolm-x/
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/bach-st-john-passion/
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/helene-grimaud/
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,https://visitseattle.org/events/positive-fragmentation/
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/antonio-m-gomez-lineajes/
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/soren-solkaer-sort-sol/
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/luchadora/
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/wild-cats-revealed-national-geographic-live/
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-vegas-golden-knights/
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-washington-capitals/
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/mark-morris-dance-group-the-look-of-love/
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/sibelius-nielsen/
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-chihuahua-savage/
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-nashville-predators/
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/native-portraiture-power-and-perception/
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/places-to-call-home-settlements-in-the-west/
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/nobody-lives-here/
Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/rootabaga-country/
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-buffalo-sabres/
Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-empire-strykers-2/
Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/somethings-afoot/
One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/one-thousand-pieces/
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/simon-trpceski-plays-tchaikovsky/
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-montreal-canadiens/
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-anaheim-ducks/
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-anaheim-ducks-2/
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/tim-mcgraw/
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/harold-and-the-purple-crayon/
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-dallas-stars/
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,https://visitseattle.org/events/illuminate-glass-art-for-early-learners/
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/al-youngs-1970-dodge-challenger-drag-racer/
Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/sanctuary-city/
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/stew/
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/luis-miguel/
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/taylor-raven-and-duke-kim-in-recital/
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/copland-appalachian-spring/
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/la-vaughn-belle-a-history-of-unruly-returns/
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/beetlejuice/
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-arizona-coyotes/
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-san-jose-sharks/
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-percussion-sounds-from-home/
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/honoring-50-years-of-papunya-tula-painting/
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/the-moors/
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/mahler-symphony-no-3/
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,https://visitseattle.org/events/best-of-the-northwest-spring-show/
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/an-evening-with-jinjoo-cho/
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dvorak-symphony-no-6/
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/the-seasons-canon/
